"hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal","country","market_segment","distribution_channel","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type","agent","company","days_in_waiting_list","customer_type","adr","required_car_parking_spaces","total_of_special_requests","reservation_status","reservation_status_date","name","email","phone.number","credit_card"
"City Hotel",0,50,2017,"July",29,19,0,2,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",159,1,1,"Check-Out","2017-07-21","Jennifer Smith","Jennifer.Smith@aol.com","409-606-3389","************7087"
"City Hotel",1,66,2017,"April",15,9,2,0,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",NA,NA,0,"Transient",100,0,0,"Canceled","2017-02-02","Michael Burns","Michael_B@zoho.com","594-915-8618","************4448"
"City Hotel",0,1,2016,"April",18,27,0,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",131,0,1,"Check-Out","2016-04-29","Ryan Rodriguez","Ryan.R@zoho.com","869-607-1454","************8445"
"City Hotel",1,118,2017,"August",32,11,0,2,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",155,0,1,"Canceled","2017-06-06","Paige Thomas","Paige_T80@gmail.com","510-664-6333","************9346"
"Resort Hotel",0,138,2017,"March",12,19,2,2,2,0,0,"HB","AUT","Direct","Corporate",1,0,2,"E","F",1,"No Deposit",NA,NA,122,"Transient-Party",80,8,0,"Check-Out","2017-03-23","Brittany Joseph","Joseph_Brittany24@mail.com","732-355-5103","************2015"
"Resort Hotel",1,110,2017,"July",28,11,0,5,2,1,0,"BB","ISR","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit",240,NA,0,"Transient",200,0,1,"Canceled","2017-03-28","Nicole Jones","Nicole_Jones@protonmail.com","988-232-2105","************9090"
"Resort Hotel",1,120,2016,"February",6,6,4,6,2,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit",240,NA,0,"Transient",50.4,0,1,"Canceled","2016-01-04","Johnny Hopkins","JHopkins@verizon.com","115-352-2990","************1685"
"City Hotel",0,19,2016,"August",33,11,3,8,2,0,0,"BB","FRA","Direct","Direct",0,0,0,"A","A",1,"No Deposit",14,NA,0,"Transient",149,0,0,"Check-Out","2016-08-22","Stephanie Marshall","Marshall_Stephanie@yandex.com","955-330-9385","************4161"
"Resort Hotel",0,50,2016,"October",41,2,2,2,2,0,0,"BB","CN","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",96,NA,0,"Transient",46,0,0,"Check-Out","2016-10-06","Daniel Smith","DSmith@mail.com","735-623-3108","************9869"
"City Hotel",1,29,2016,"October",45,31,1,4,2,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",114.4,0,2,"Canceled","2016-10-10","Timothy Jackson","Timothy_Jackson@hotmail.com","907-376-1412","************6805"
"Resort Hotel",0,153,2017,"July",28,9,4,6,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",40,NA,0,"Contract",104.85,0,0,"Check-Out","2017-07-19","Ryan Swanson","Swanson.Ryan@outlook.com","719-390-5940","************9826"
"City Hotel",0,53,2016,"March",11,6,2,3,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient-Party",65.75,0,0,"Check-Out","2016-03-11","Patricia Vance","PatriciaVance@gmail.com","716-547-5514","************2226"
"Resort Hotel",1,32,2017,"January",1,6,2,6,2,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",53.5,0,0,"Canceled","2016-12-05","Amanda Schwartz","Amanda_S@aol.com","352-456-3093","************2470"
"Resort Hotel",0,2,2016,"July",28,9,0,1,2,2,0,"BB","PRT","Direct","Direct",0,0,0,"H","H",0,"No Deposit",250,419,0,"Transient",246,0,0,"Check-Out","2016-07-10","Tami Huber","THuber@hotmail.com","689-469-1924","************6745"
"City Hotel",1,178,2016,"April",18,28,0,3,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"Non Refund",19,NA,46,"Transient",110,0,0,"Canceled","2015-12-18","Debbie Lee","DLee@xfinity.com","374-605-3888","************6688"
"Resort Hotel",1,170,2015,"October",41,4,4,8,2,0,0,"BB","CN","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",15,NA,0,"Transient",44.5,0,0,"Canceled","2015-07-17","Jennifer Best","Jennifer_Best@protonmail.com","777-852-1114","************7019"
"City Hotel",1,92,2016,"September",37,9,2,2,2,0,0,"BB","CZE","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",149.4,0,0,"Canceled","2016-06-09","Madison Roberts","Roberts_Madison@protonmail.com","600-598-7709","************5316"
"City Hotel",0,16,2017,"July",27,6,0,2,2,0,0,"BB","CHN","Online TA","TA/TO",0,0,0,"E","E",0,"No Deposit",9,NA,0,"Transient",171,0,1,"Check-Out","2017-07-08","Morgan Salinas","MSalinas@zoho.com","829-421-4358","************9747"
"City Hotel",0,0,2015,"October",44,30,2,5,1,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","E",0,"No Deposit",6,NA,0,"Group",62,0,0,"Check-Out","2015-11-06","Jonathan Cline","JonathanCline77@yahoo.com","929-139-2219","************1053"
"City Hotel",1,92,2017,"April",14,7,1,2,2,0,0,"SC","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",99,0,0,"Canceled","2017-01-05","Samuel Jones","Samuel_Jones@aol.com","370-521-4133","************1651"
"City Hotel",0,12,2016,"October",42,10,1,0,2,0,0,"BB","PRT","Groups","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient-Party",130,0,0,"Check-Out","2016-10-11","Peggy Ochoa","Peggy.O@yahoo.com","355-746-6524","************5265"
"Resort Hotel",1,8,2017,"May",21,23,0,2,2,0,0,"BB","PRT","Complementary","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient",0,0,0,"Canceled","2017-05-22","Elizabeth Evans","Elizabeth.Evans@comcast.net","474-347-3129","************6391"
"City Hotel",0,168,2015,"September",37,11,0,2,1,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","D",1,"No Deposit",1,NA,0,"Transient-Party",50,0,0,"Check-Out","2015-09-13","Michael Wood","Michael_W@aol.com","752-974-2530","************5544"
"City Hotel",0,70,2016,"October",43,18,0,2,2,0,0,"SC","CHN","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",97.2,0,2,"Check-Out","2016-10-20","Brian Vasquez","BrianVasquez@aol.com","841-441-8686","************2201"
"Resort Hotel",0,123,2016,"February",9,27,1,1,2,0,0,"FB","ESP","Groups","Direct",0,0,0,"A","A",0,"No Deposit",38,NA,0,"Transient-Party",64,0,0,"Check-Out","2016-02-29","Christopher Mcdonald","ChristopherMcdonald62@comcast.net","726-536-2302","************3400"
"Resort Hotel",0,65,2017,"March",11,18,2,6,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",1,"No Deposit",468,NA,0,"Transient-Party",80,0,0,"Check-Out","2017-03-26","William Gill","WilliamGill75@zoho.com","610-536-6814","************7753"
"City Hotel",1,39,2017,"July",28,15,0,1,1,0,0,"SC","GBR","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",140,0,0,"Canceled","2017-07-11","Mr. James Wood DDS","Mr._D@zoho.com","398-347-6278","************7165"
"Resort Hotel",0,208,2017,"August",34,26,4,9,2,0,0,"HB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",177,NA,0,"Transient",101.75,0,0,"Check-Out","2017-09-08","Matthew Hubbard","Hubbard.Matthew@gmail.com","183-978-5308","************1295"
"City Hotel",0,99,2016,"July",28,6,0,3,2,0,0,"SC","CHE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",103.5,0,1,"Check-Out","2016-07-09","Jennifer Smith","JenniferSmith@xfinity.com","871-153-2315","************6732"
"City Hotel",0,3,2015,"December",50,10,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,1,"A","A",0,"No Deposit",NA,40,0,"Transient-Party",65,0,0,"Check-Out","2015-12-11","Rebecca Davis","Rebecca.Davis@hotmail.com","428-026-7277","************4827"
"City Hotel",1,112,2016,"August",35,22,1,4,3,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",150.3,0,0,"Canceled","2016-05-06","Brianna Peterson","Brianna.Peterson@comcast.net","412-153-9405","************8953"
"Resort Hotel",1,393,2016,"October",41,8,2,2,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",68,NA,0,"Transient",72,0,0,"Canceled","2015-12-17","Keith Chen","Keith_C@yahoo.com","719-889-8811","************4928"
"Resort Hotel",1,162,2016,"March",10,4,6,15,2,0,0,"HB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",96,NA,0,"Transient",82,0,0,"Canceled","2015-11-03","Jason Chen","Chen.Jason@outlook.com","999-526-3503","************3718"
"City Hotel",0,68,2016,"April",18,24,2,0,3,0,0,"BB","PRT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",133.2,0,2,"Check-Out","2016-04-26","Tanya Blackburn","Blackburn.Tanya@att.com","916-838-7160","************8104"
"Resort Hotel",0,48,2015,"July",29,12,2,5,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"D","D",0,"No Deposit",243,NA,0,"Transient",123,0,1,"Check-Out","2015-07-19","Arthur Evans","Arthur_Evans@comcast.net","771-489-6681","************6974"
"City Hotel",0,13,2016,"December",50,5,1,0,1,0,0,"BB","NLD","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",96,0,0,"Check-Out","2016-12-06","Justin Morgan","JMorgan45@comcast.net","731-701-3857","************4786"
"City Hotel",0,27,2017,"March",11,13,1,3,2,0,0,"SC","FRA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",79.05,0,0,"Check-Out","2017-03-17","Melissa Lucero","MLucero67@yandex.com","469-107-8252","************5486"
"Resort Hotel",0,275,2017,"July",29,20,2,5,2,2,0,"BB","RUS","Online TA","TA/TO",0,0,0,"G","G",2,"No Deposit",240,NA,0,"Transient",244,0,1,"Check-Out","2017-07-27","Stephanie Aguilar","SAguilar@zoho.com","319-557-7852","************7754"
"City Hotel",1,136,2016,"July",27,2,2,2,2,0,0,"BB","CHE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",93.08,0,0,"Canceled","2016-03-05","Brianna Ford","BFord@att.com","804-808-6250","************4112"
"City Hotel",0,0,2015,"November",47,16,1,2,2,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",0,"No Deposit",NA,40,0,"Transient",75,0,0,"Check-Out","2015-11-19","Lawrence Santiago","LSantiago@mail.com","152-929-6709","************9688"
"Resort Hotel",1,340,2017,"June",23,7,0,2,2,0,0,"BB","FIN","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",88.2,0,2,"Canceled","2016-12-08","Susan Fisher","SFisher97@gmail.com","622-725-5397","************3203"
"City Hotel",0,298,2017,"April",15,14,1,2,2,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",1,"No Deposit",6,NA,0,"Transient-Party",90,0,0,"Check-Out","2017-04-17","Kimberly Tyler","Tyler_Kimberly62@yandex.com","210-803-5087","************3255"
"City Hotel",0,17,2015,"October",40,1,0,2,1,0,0,"BB","IND","Online TA","TA/TO",0,0,0,"A","A",1,"No Deposit",7,NA,0,"Transient",73.88,0,3,"Check-Out","2015-10-03","Linda Miller","Miller_Linda@yahoo.com","502-203-1676","************7538"
"Resort Hotel",0,6,2016,"July",29,13,0,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,4,"A","D",0,"No Deposit",NA,270,0,"Transient",65,0,0,"Check-Out","2016-07-14","Lisa Gallagher","Lisa_Gallagher@hotmail.com","417-231-3663","************5463"
"City Hotel",0,13,2017,"May",22,30,0,1,1,0,0,"SC","NLD","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",7,NA,0,"Transient",88,0,2,"Check-Out","2017-05-31","Joseph Espinoza","JEspinoza@verizon.com","810-610-1658","************1887"
"City Hotel",0,131,2016,"July",28,7,0,1,2,0,0,"SC","PRT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",103.5,0,1,"Check-Out","2016-07-08","Anna Brock","Brock_Anna@yandex.com","425-084-0838","************2411"
"City Hotel",0,80,2015,"October",41,9,0,2,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,0,0,"D","A",0,"No Deposit",12,NA,50,"Transient-Party",136,0,0,"Check-Out","2015-10-11","Brooke Kennedy","Brooke.Kennedy@gmail.com","624-409-3086","************5119"
"City Hotel",1,106,2015,"December",50,9,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",37,NA,57,"Transient",75,0,0,"Canceled","2015-10-21","Tina Chavez","Tina.Chavez84@yahoo.com","531-580-2070","************9304"
"Resort Hotel",1,259,2015,"September",38,17,0,3,2,0,0,"BB","GBR","Groups","Corporate",0,1,0,"A","A",0,"Non Refund",NA,223,0,"Transient",40.05,0,0,"Canceled","2015-01-21","Tyler Hodge","Tyler_H16@aol.com","775-620-5935","************5097"
"City Hotel",0,92,2017,"April",14,7,0,2,3,0,0,"BB","AUT","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",166.5,0,0,"Check-Out","2017-04-09","April Williams","Williams_April54@xfinity.com","444-981-7227","************8211"
"Resort Hotel",0,97,2017,"June",25,19,1,5,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",240,NA,0,"Transient",120,0,1,"Check-Out","2017-06-25","Chad Shaw","Chad_Shaw80@verizon.com","949-368-4129","************6907"
"City Hotel",0,71,2016,"March",11,12,2,3,2,0,0,"SC","SWE","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",11,NA,0,"Transient",45.9,0,0,"Check-Out","2016-03-17","Paula Blevins","PaulaBlevins41@gmail.com","272-574-1526","************4613"
"Resort Hotel",1,261,2015,"October",42,16,2,6,2,0,0,"HB","PRT","Offline TA/TO","TA/TO",0,1,0,"D","D",0,"No Deposit",6,NA,0,"Transient",72,0,0,"Canceled","2015-08-03","Megan Jones","Jones.Megan@hotmail.com","422-627-1975","************7037"
"Resort Hotel",0,17,2016,"November",45,5,0,1,2,0,0,"BB","PRT","Direct","Direct",0,0,0,"F","F",0,"No Deposit",250,NA,0,"Transient-Party",72,0,0,"Check-Out","2016-11-06","Kelsey Rios","Kelsey.Rios@att.com","620-173-8952","************9537"
"Resort Hotel",0,12,2015,"December",51,13,1,0,2,0,0,"BB","IRL","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",48,0,1,"Check-Out","2015-12-14","Scott Clarke","Clarke_Scott31@yandex.com","651-903-4172","************2164"
"City Hotel",0,0,2015,"November",46,9,1,1,1,0,0,"BB","PRT","Corporate","Corporate",1,0,2,"A","A",0,"No Deposit",NA,40,0,"Transient",65,0,0,"Check-Out","2015-11-11","Amanda Flores","Flores_Amanda30@gmail.com","649-321-0343","************8097"
"City Hotel",0,68,2017,"March",11,15,0,2,1,0,0,"BB","PRT","Direct","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient",65,0,0,"Check-Out","2017-03-17","Jared Moran","Moran.Jared@aol.com","849-544-8839","************4753"
"City Hotel",1,14,2015,"October",42,15,0,1,1,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,1,0,"A","A",0,"No Deposit",99,NA,0,"Transient-Party",100,0,0,"Canceled","2015-10-13","Michele Ramos","Michele_Ramos92@verizon.com","258-697-3683","************5411"
"City Hotel",1,47,2017,"March",11,17,1,2,2,0,0,"BB","ESP","Online TA","TA/TO",0,0,0,"E","E",2,"No Deposit",9,NA,0,"Transient",133.2,0,0,"Canceled","2017-01-30","Angela Torres","Torres.Angela@verizon.com","570-318-8768","************4174"
"City Hotel",0,5,2016,"September",37,5,1,0,3,0,0,"BB","CHN","Direct","Direct",0,0,0,"D","D",0,"No Deposit",NA,NA,0,"Transient",150,0,3,"Check-Out","2016-09-06","Stephen Hughes","Hughes.Stephen82@verizon.com","830-162-8202","************2699"
"Resort Hotel",0,0,2016,"April",18,27,0,1,2,0,0,"BB","ESP","Online TA","Direct",0,0,0,"A","A",2,"No Deposit",NA,NA,0,"Transient",65,0,1,"Check-Out","2016-04-28","Kristine Espinoza","Kristine.E@xfinity.com","654-720-3026","************5995"
"City Hotel",0,68,2017,"April",16,20,2,3,2,0,0,"BB","AUT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",126,0,2,"Check-Out","2017-04-25","Alejandro Lopez","AlejandroLopez@zoho.com","801-486-6552","************3803"
"Resort Hotel",0,118,2017,"May",19,10,2,5,1,0,0,"BB","IRL","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",96,NA,0,"Transient-Party",42,0,0,"Check-Out","2017-05-17","Jacob Johnson","Jacob_J28@gmail.com","162-150-4970","************9106"
"City Hotel",0,5,2016,"June",25,14,0,1,2,0,0,"BB","PRT","Corporate","Corporate",0,0,0,"A","A",1,"No Deposit",NA,221,0,"Transient",100,0,0,"Check-Out","2016-06-15","Laura Chang","Chang.Laura@xfinity.com","300-567-0775","************4201"
"City Hotel",1,422,2016,"September",38,16,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",1,NA,379,"Transient-Party",65,0,0,"Canceled","2016-08-22","Ms. Elizabeth Conway","Conway.Ms.85@yandex.com","405-541-1829","************4377"
"City Hotel",0,137,2017,"March",10,6,1,1,2,0,0,"BB","ISR","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",37,NA,0,"Transient-Party",80,0,1,"Check-Out","2017-03-08","Julie Carroll","Carroll_Julie@protonmail.com","965-043-6166","************9240"
"City Hotel",0,0,2017,"March",12,22,0,1,2,0,0,"SC","IRL","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",89,0,1,"Check-Out","2017-03-23","Nicole Duarte","Nicole.Duarte@zoho.com","270-672-1906","************9696"
"City Hotel",1,61,2017,"January",4,25,0,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",326,NA,0,"Transient",80,0,0,"Canceled","2016-11-25","Jon Fox","JFox@zoho.com","912-667-5512","************1157"
"City Hotel",1,11,2015,"October",44,30,1,2,2,0,0,"BB","PRT","Online TA","TA/TO",0,1,0,"A","A",0,"No Deposit",9,NA,0,"Contract",113.33,0,1,"Canceled","2015-10-26","Jason Hoffman","Hoffman.Jason@hotmail.com","261-434-3774","************2412"
"Resort Hotel",1,143,2015,"October",41,10,2,5,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",96,NA,0,"Transient",36.05,0,0,"Canceled","2015-07-08","Mr. Michael Gonzalez Jr.","Mr..J@mail.com","685-326-0080","************6781"
"City Hotel",1,130,2016,"April",16,13,0,4,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund",29,NA,10,"Transient",100,0,0,"Canceled","2015-12-15","Sandra Wood","Sandra.Wood@att.com","468-840-8599","************1512"
"City Hotel",0,29,2017,"January",3,18,0,3,1,0,0,"BB","POL","Groups","TA/TO",0,0,0,"A","A",0,"No Deposit",171,NA,0,"Transient-Party",65,0,0,"Check-Out","2017-01-21","Tyler Stanley","TStanley@outlook.com","787-148-8163","************3290"
"City Hotel",1,153,2017,"June",25,21,0,4,1,0,0,"BB","PRT","Corporate","TA/TO",0,0,0,"A","A",0,"Non Refund",NA,348,0,"Transient",110,0,0,"Canceled","2017-01-19","Tara French","TFrench68@xfinity.com","977-594-6312","************7085"
"City Hotel",1,379,2015,"October",44,31,1,1,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund",1,NA,0,"Transient",62,0,0,"Canceled","2015-07-23","Benjamin Mayer","BenjaminMayer@aol.com","839-616-7290","************4539"
"City Hotel",0,48,2017,"August",33,15,0,2,2,1,0,"BB","ECU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",180,0,3,"Check-Out","2017-08-17","Laura Smith","LSmith46@hotmail.com","739-431-4675","************5415"
"Resort Hotel",0,254,2015,"September",37,12,2,2,2,0,0,"BB","CN","Groups","TA/TO",0,0,0,"A","C",0,"No Deposit",15,NA,0,"Transient-Party",36,0,0,"Check-Out","2015-09-16","Shawn Thomas","ShawnThomas@yandex.com","398-766-8941","************8576"
"City Hotel",1,121,2017,"January",1,6,2,2,2,0,0,"BB","ITA","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",88.4,0,0,"Canceled","2016-09-07","Heidi Jones","Jones.Heidi@verizon.com","595-323-2597","************2474"
"Resort Hotel",0,108,2017,"July",28,14,4,10,2,0,0,"HB","GBR","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",40,NA,0,"Contract",134.85,0,0,"Check-Out","2017-07-28","Raymond Douglas","Raymond_Douglas@outlook.com","830-562-8147","************5624"
"Resort Hotel",0,56,2016,"May",19,5,2,5,2,0,0,"BB","GBR","Offline TA/TO","TA/TO",0,0,0,"D","E",0,"No Deposit",243,NA,0,"Contract",46.75,0,0,"Check-Out","2016-05-12","Emily Frazier","Emily_Frazier@zoho.com","205-795-7171","************6189"
"City Hotel",0,3,2017,"July",28,15,0,1,2,0,0,"BB","FRA","Direct","Direct",0,0,0,"A","A",0,"No Deposit",NA,NA,0,"Transient-Party",123.2,0,1,"Check-Out","2017-07-16","Christopher Martinez","Christopher.Martinez62@yandex.com","666-967-9808","************8778"
"City Hotel",1,276,2015,"July",30,20,1,1,2,0,0,"BB","PRT","Groups","TA/TO",0,1,0,"A","A",0,"Non Refund",1,NA,0,"Transient-Party",62,0,0,"Canceled","2015-06-29","Alyssa Davis","Alyssa_Davis87@protonmail.com","800-609-1518","************2396"
"City Hotel",0,226,2017,"June",25,22,0,3,2,0,0,"SC","AUT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",99,0,1,"Check-Out","2017-06-25","Holly Thompson","HThompson@yandex.com","489-057-8740","************7387"
"City Hotel",1,193,2016,"June",26,20,1,2,2,0,0,"BB","PRT","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"Non Refund",162,NA,39,"Transient",120,0,0,"Canceled","2016-01-18","Jeremy Jones","Jeremy.Jones@yandex.com","434-914-5626","************6492"
"City Hotel",0,86,2017,"March",13,30,1,3,2,0,0,"BB","AUT","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",104.4,0,0,"Check-Out","2017-04-03","William Jones","William_Jones@comcast.net","824-163-0041","************8229"
"Resort Hotel",0,1,2015,"September",37,11,1,2,2,2,0,"BB","BRA","Online TA","TA/TO",0,0,0,"H","H",0,"No Deposit",240,NA,0,"Group",131,1,0,"Check-Out","2015-09-14","Paul Taylor","PaulTaylor@att.com","467-524-6919","************6582"
"City Hotel",1,178,2017,"May",20,20,2,2,1,0,0,"BB","KOR","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",9,NA,0,"Transient",139.28,0,0,"Canceled","2017-04-13","David Jenkins","David_J@comcast.net","966-711-3932","************9436"
"City Hotel",0,69,2016,"October",43,16,2,3,2,1,0,"BB","DEU","Online TA","TA/TO",0,0,0,"F","F",0,"No Deposit",7,NA,0,"Transient",153.05,0,1,"Check-Out","2016-10-21","Richard Snyder","Richard_Snyder@att.com","504-368-8904","************2823"
"City Hotel",0,212,2017,"August",35,28,2,5,2,0,0,"BB","CHN","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",7,NA,0,"Transient",92.17,0,1,"Check-Out","2017-09-04","Donna Young","Donna_Y34@hotmail.com","946-717-5213","************2124"
"City Hotel",0,24,2017,"August",31,3,0,2,2,0,0,"SC","ESP","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient",134,0,1,"Check-Out","2017-08-05","Sean Goodman","Goodman_Sean@hotmail.com","265-543-4680","************9093"
"City Hotel",1,451,2016,"May",21,16,1,2,2,0,0,"BB","PRT","Groups","TA/TO",0,0,0,"A","A",0,"Non Refund",1,NA,0,"Transient",60,0,0,"Canceled","2016-03-14","Elizabeth Patrick","Elizabeth.Patrick@comcast.net","403-280-3264","************7475"
"Resort Hotel",0,0,2017,"August",32,10,0,1,2,0,0,"BB","RUS","Direct","Direct",0,0,0,"D","D",0,"No Deposit",NA,NA,0,"Transient",194,1,0,"Check-Out","2017-08-11","Julie Sherman","JulieSherman71@protonmail.com","856-384-5034","************8880"
"Resort Hotel",0,1,2017,"February",7,18,2,1,1,0,0,"BB","GBR","Online TA","TA/TO",0,0,0,"A","D",0,"No Deposit",240,NA,0,"Transient",56,0,1,"Check-Out","2017-02-21","Jennifer Wilson","Jennifer_W@yahoo.com","702-052-2640","************3889"
"City Hotel",0,116,2016,"February",10,28,2,1,1,0,0,"BB","DEU","Offline TA/TO","TA/TO",0,0,0,"A","A",0,"No Deposit",134,NA,0,"Transient-Party",76,0,0,"Check-Out","2016-03-02","David Patterson","David.Patterson90@mail.com","874-066-0581","************5232"
"Resort Hotel",1,117,2017,"August",33,18,0,2,2,0,0,"HB","ESP","Online TA","TA/TO",0,0,0,"D","D",0,"No Deposit",240,NA,0,"Transient",282,0,1,"Canceled","2017-05-14","Catherine Miller","Catherine_M@gmail.com","847-352-9237","************9593"
"Resort Hotel",0,0,2016,"November",47,19,1,1,1,0,0,"BB","NLD","Direct","Direct",1,0,0,"H","H",1,"No Deposit",NA,NA,0,"Transient",108,1,0,"Check-Out","2016-11-21","Laura Rivera","Laura_R@comcast.net","342-053-0917","************2564"
"Resort Hotel",0,107,2017,"March",10,9,0,2,1,0,0,"Undefined","CN","Groups","TA/TO",0,0,0,"E","E",1,"No Deposit",96,NA,0,"Transient-Party",72,0,0,"Check-Out","2017-03-11","Johnny Robinson","JRobinson@zoho.com","724-879-9975","************9563"
"City Hotel",0,121,2017,"April",14,7,1,2,2,0,0,"BB","GBR","Direct","Direct",0,0,0,"A","A",0,"No Deposit",14,NA,0,"Transient",99,0,1,"Check-Out","2017-04-10","Kenneth Casey","Kenneth.C@protonmail.com","244-520-2197","************2685"
"City Hotel",0,256,2016,"August",36,31,0,4,2,0,0,"BB","DEU","Online TA","TA/TO",0,0,0,"A","A",0,"No Deposit",9,NA,0,"Transient-Party",90.95,0,0,"Check-Out","2016-09-04","Melissa Jones","MelissaJones@verizon.com","813-546-3819","************2961"
"Resort Hotel",0,225,2016,"May",22,28,1,1,2,0,0,"HB","DEU","Groups","TA/TO",0,0,0,"A","E",0,"No Deposit",298,NA,0,"Transient-Party",85,0,0,"Check-Out","2016-05-30","Tracy Alvarado","TracyAlvarado@gmail.com","726-936-4581","************6646"
